category	day_of_week	description	incident_num	latitude	longitude	date	resolution
VEHICLE THEFT	Sunday	STOLEN AND RECOVERED VEHICLE	160234993	37.7191521323328	-122.456051618264	2016-03-21T03:30:00Z	NONE
KIDNAPPING	Monday	KIDNAPPING, ADULT VICTIM	160263754	37.7697208630457	-122.417949217834	2016-03-29T06:20:00Z	NONE
BURGLARY	Tuesday	BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY	160263776	37.7452689967253	-122.417607034171	2016-03-30T05:30:00Z	NONE
TRESPASS	Wednesday	TRESPASSING	160263798	37.769247063207	-122.426955631709	2016-03-31T03:24:00Z	NONE
LARCENY/THEFT	Wednesday	GRAND THEFT FROM LOCKED AUTO	160263817	37.8054960276478	-122.422008950077	2016-03-31T02:15:00Z	NONE
NON-CRIMINAL	Monday	AIDED CASE, MENTAL DISTURBED	160236256	37.7620666703426	-122.449274747004	2016-03-21T20:00:00Z	NONE
OTHER OFFENSES	Monday	FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY	160268544	37.7877544766568	-122.413072802026	2016-03-14T15:00:00Z	NONE
ASSAULT	Tuesday	BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP	160237969	37.7298385260128	-122.400276199934	2016-03-22T08:20:00Z	ARREST, BOOKED
ROBBERY	Tuesday	ATTEMPTED ROBBERY WITH A GUN	160237975	37.7774237689287	-122.440857271375	2016-03-22T08:52:00Z	NONE
OTHER OFFENSES	Thursday	TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE	160238644	37.7256933575703	-122.452289660492	2016-03-17T16:00:00Z	NONE
VEHICLE THEFT	Monday	STOLEN AUTOMOBILE	160238650	37.7594039804943	-122.464984108372	2016-03-22T06:00:00Z	NONE
WARRANTS	Wednesday	WARRANT ARREST	160241170	37.7787487070192	-122.395898776686	2016-03-23T12:25:00Z	ARREST, BOOKED
ROBBERY	Wednesday	ROBBERY ON THE STREET, STRONGARM	160241205	37.7423752245255	-122.421970919029	2016-03-23T11:00:00Z	NONE
LARCENY/THEFT	Wednesday	PETTY THEFT OF PROPERTY	160241982	37.7436679286135	-122.456345566589	2016-03-23T18:55:00Z	NONE
